municipality_code,geographic_level,state_abbreviation,municipality_name,land_use_purpose,income_bracket,association_status,number_of_agricultural_establishments,total_area_in_hectares
1702208,7,TO,Araguatins,Total,Total,Total,2114,154753.0
1702307,7,TO,Arapoema,Total,Total,Total,246,123945.0
1702406,7,TO,Arraias,Total,Total,Total,866,359782.0
1702554,7,TO,Augustinópolis,Total,Total,Total,421,21653.0
1702703,7,TO,Aurora do Tocantins,Total,Total,Total,204,63279.0
1702901,7,TO,Axixá do Tocantins,Total,Total,Total,152,8284.0
1703008,7,TO,Babaçulândia,Total,Total,Total,1030,94775.0
1703057,7,TO,Bandeirantes do Tocantins,Total,Total,Total,212,105099.0
1703073,7,TO,Barra do Ouro,Total,Total,Total,252,60161.0
1703107,7,TO,Barrolândia,Total,Total,Total,240,48338.0
1703206,7,TO,Bernardo Sayão,Total,Total,Total,577,66259.0
1703305,7,TO,Bom Jesus do Tocantins,Total,Total,Total,243,59659.0
1703602,7,TO,Brasilândia do Tocantins,Total,Total,Total,137,39760.0
1703701,7,TO,Brejinho de Nazaré,Total,Total,Total,423,99912.0
1703800,7,TO,Buriti do Tocantins,Total,Total,Total,214,19994.0
1703826,7,TO,Cachoeirinha,Total,Total,Total,201,18617.0
1703842,7,TO,Campos Lindos,Total,Total,Total,655,177222.0
1703867,7,TO,Cariri do Tocantins,Total,Total,Total,376,92345.0
1703883,7,TO,Carmolândia,Total,Total,Total,94,31300.0
1703891,7,TO,Carrasco Bonito,Total,Total,Total,185,14242.0
1703909,7,TO,Caseara,Total,Total,Total,461,145036.0
1704105,7,TO,Centenário,Total,Total,Total,340,101059.0
1704600,7,TO,Chapada de Areia,Total,Total,Total,218,53646.0
1705102,7,TO,Chapada da Natividade,Total,Total,Total,396,81960.0
1705508,7,TO,Colinas do Tocantins,Total,Total,Total,386,72408.0
1705557,7,TO,Combinado,Total,Total,Total,188,9212.0
1705607,7,TO,Conceição do Tocantins,Total,Total,Total,340,168973.0
1706001,7,TO,Couto Magalhães,Total,Total,Total,765,126323.0
1706100,7,TO,Cristalândia,Total,Total,Total,483,142560.0
1706258,7,TO,Crixás do Tocantins,Total,Total,Total,175,90059.0
1706506,7,TO,Darcinópolis,Total,Total,Total,294,62881.0
1707009,7,TO,Dianópolis,Total,Total,Total,453,97898.0
1707108,7,TO,Divinópolis do Tocantins,Total,Total,Total,722,189159.0
1707207,7,TO,Dois Irmãos do Tocantins,Total,Total,Total,1157,292034.0
1707306,7,TO,Dueré,Total,Total,Total,497,257801.0
1707405,7,TO,Esperantina,Total,Total,Total,460,27205.0
1707553,7,TO,Fátima,Total,Total,Total,215,36854.0
1707652,7,TO,Figueirópolis,Total,Total,Total,449,166563.0
1707702,7,TO,Filadélfia,Total,Total,Total,697,122899.0
1708205,7,TO,Formoso do Araguaia,Total,Total,Total,1102,549527.0
1708254,7,TO,Tabocão,Total,Total,Total,106,30163.0
1708304,7,TO,Goianorte,Total,Total,Total,698,121751.0
1709005,7,TO,Goiatins,Total,Total,Total,909,211893.0
1709302,7,TO,Guaraí,Total,Total,Total,678,130452.0
1709500,7,TO,Gurupi,Total,Total,Total,626,129429.0
