cod_ibge,uf,populacao_2024,num_escolas,area_algodão_herbáceo_2024,area_cana_de_açúcar_2024,area_milho_2024,area_soja_2024,estabelecimentos_agro_total,area_agro_total_hectares,num_tratores
5105150,MT,47800.0,32259,,4155.0,151847.0,278993.0,2759.0,744664.0,670.0
5105176,MT,10149.0,7113,,,12209.0,14242.0,1059.0,272571.0,186.0
5105200,MT,11620.0,7740,80022.0,,78010.0,259795.0,920.0,154984.0,391.0
5105234,MT,4724.0,3216,,112573.0,314.0,3840.0,424.0,183858.0,255.0
5105259,MT,92256.0,67845,1072963.0,,856781.0,1492297.0,321.0,315746.0,1023.0
5105309,MT,2591.0,1992,2232.0,,348.0,54126.0,218.0,154860.0,73.0
5105507,MT,17384.0,11781,,,62078.0,479170.0,1521.0,1023684.0,997.0
5105580,MT,11414.0,9462,57903.0,,414868.0,827640.0,910.0,709478.0,534.0
5105606,MT,21415.0,16626,,30.0,271158.0,405600.0,967.0,288885.0,433.0
5105622,MT,27511.0,17133,,107454.0,490.0,1216.0,1424.0,97492.0,320.0
5105903,MT,15753.0,12840,,66.0,129263.0,349845.0,656.0,247657.0,372.0
5106000,MT,5935.0,3699,77485.0,,88220.0,210347.0,446.0,162685.0,184.0
5106109,MT,11658.0,10788,,694.0,3618.0,41210.0,1842.0,320721.0,429.0
5106158,MT,14160.0,8760,,,33721.0,128224.0,1626.0,668575.0,503.0
5106174,MT,4467.0,3750,,,21520.0,130600.0,275.0,132067.0,188.0
5106182,MT,6965.0,4842,,27.0,26481.0,342526.0,659.0,307040.0,292.0
5106190,MT,4431.0,3042,,30.0,161502.0,309275.0,361.0,162902.0,239.0
5106208,MT,3853.0,2715,,77.0,33698.0,108936.0,409.0,238823.0,196.0
5106216,MT,11771.0,8364,117549.0,,177521.0,538558.0,1587.0,436540.0,609.0
5106224,MT,61223.0,48243,758533.0,,1668960.0,2281000.0,661.0,766160.0,1553.0
5106232,MT,16314.0,11646,,223411.0,1919.0,7950.0,451.0,136078.0,270.0
5106240,MT,12108.0,9420,446479.0,,1828776.0,2805288.0,725.0,783976.0,1116.0
5106257,MT,25486.0,14229,84936.0,,74548.0,364482.0,1362.0,417852.0,712.0
5106265,MT,6444.0,5082,,,241750.0,564300.0,1203.0,337580.0,568.0
5106273,MT,3307.0,2175,,,9631.0,66700.0,548.0,69760.0,113.0
5106281,MT,7160.0,5187,646623.0,,197836.0,551835.0,823.0,389466.0,615.0
5106299,MT,11989.0,7956,,,78103.0,225922.0,1736.0,380652.0,532.0
