"Tabela 6873 - Número de estabelecimentos agropecuários e Número de tratores, implementos e máquinas existentes nos estabelecimentos agropecuários, por tipologia, tratores, implementos e máquinas existentes no estabelecimento agropecuário, condição do produtor em relação às terras e grupos de atividade econômica - Ranking ascendente"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Ano x Tipologia x Tratores, implementos e máquinas existentes no estabelecimento agropecuário"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"2017"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Total"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Tratores"
"1508308";"Viseu (PA)";"Total";"1";"Total";"89"
"1508357";"Vitória do Xingu (PA)";"Total";"1";"Total";"88"
"1508407";"Xinguara (PA)";"Total";"1";"Total";"113"
"1600055";"Serra do Navio (AP)";"Total";"1";"Total";"-"
"1600105";"Amapá (AP)";"Total";"1";"Total";"4"
"1600154";"Pedra Branca do Amapari (AP)";"Total";"1";"Total";"2"
"1600204";"Calçoene (AP)";"Total";"1";"Total";"1"
"1600212";"Cutias (AP)";"Total";"1";"Total";"6"
"1600238";"Ferreira Gomes (AP)";"Total";"1";"Total";"6"
"1600253";"Itaubal (AP)";"Total";"1";"Total";"9"
"1600279";"Laranjal do Jari (AP)";"Total";"1";"Total";"6"
"1600303";"Macapá (AP)";"Total";"1";"Total";"106"
"1600402";"Mazagão (AP)";"Total";"1";"Total";"9"
"1600501";"Oiapoque (AP)";"Total";"1";"Total";"4"
"1600535";"Porto Grande (AP)";"Total";"1";"Total";"57"
"1600550";"Pracuúba (AP)";"Total";"1";"Total";"5"
"1600600";"Santana (AP)";"Total";"1";"Total";"13"
"1600709";"Tartarugalzinho (AP)";"Total";"1";"Total";"9"
"1600808";"Vitória do Jari (AP)";"Total";"1";"Total";"-"
"1700251";"Abreulândia (TO)";"Total";"1";"Total";"99"
"1700301";"Aguiarnópolis (TO)";"Total";"1";"Total";"23"
"1700350";"Aliança do Tocantins (TO)";"Total";"1";"Total";"114"
"1700400";"Almas (TO)";"Total";"1";"Total";"84"
"1700707";"Alvorada (TO)";"Total";"1";"Total";"101"
"1701002";"Ananás (TO)";"Total";"1";"Total";"49"
"1701051";"Angico (TO)";"Total";"1";"Total";"10"
"1701101";"Aparecida do Rio Negro (TO)";"Total";"1";"Total";"47"
"1701309";"Aragominas (TO)";"Total";"1";"Total";"40"
"1701903";"Araguacema (TO)";"Total";"1";"Total";"77"
"1702000";"Araguaçu (TO)";"Total";"1";"Total";"313"
"1702109";"Araguaína (TO)";"Total";"1";"Total";"213"
"1702158";"Araguanã (TO)";"Total";"1";"Total";"29"
"1702208";"Araguatins (TO)";"Total";"1";"Total";"127"
"1702307";"Arapoema (TO)";"Total";"1";"Total";"84"
"1702406";"Arraias (TO)";"Total";"1";"Total";"140"
"1702554";"Augustinópolis (TO)";"Total";"1";"Total";"27"
"1702703";"Aurora do Tocantins (TO)";"Total";"1";"Total";"30"
"1702901";"Axixá do Tocantins (TO)";"Total";"1";"Total";"10"
"1703008";"Babaçulândia (TO)";"Total";"1";"Total";"59"
"1703057";"Bandeirantes do Tocantins (TO)";"Total";"1";"Total";"65"
"1703073";"Barra do Ouro (TO)";"Total";"1";"Total";"12"
"1703107";"Barrolândia (TO)";"Total";"1";"Total";"57"
"1703206";"Bernardo Sayão (TO)";"Total";"1";"Total";"72"
"1703305";"Bom Jesus do Tocantins (TO)";"Total";"1";"Total";"16"
"1703602";"Brasilândia do Tocantins (TO)";"Total";"1";"Total";"23"
"1703701";"Brejinho de Nazaré (TO)";"Total";"1";"Total";"54"
"1703800";"Buriti do Tocantins (TO)";"Total";"1";"Total";"20"
"1703826";"Cachoeirinha (TO)";"Total";"1";"Total";"6"
"1703842";"Campos Lindos (TO)";"Total";"1";"Total";"83"
"1703867";"Cariri do Tocantins (TO)";"Total";"1";"Total";"102"
"1703883";"Carmolândia (TO)";"Total";"1";"Total";"21"
"1703891";"Carrasco Bonito (TO)";"Total";"1";"Total";"12"
"1703909";"Caseara (TO)";"Total";"1";"Total";"31"
"1704105";"Centenário (TO)";"Total";"1";"Total";"18"
"1704600";"Chapada de Areia (TO)";"Total";"1";"Total";"49"
"1705102";"Chapada da Natividade (TO)";"Total";"1";"Total";"42"
"1705508";"Colinas do Tocantins (TO)";"Total";"1";"Total";"67"
"1705557";"Combinado (TO)";"Total";"1";"Total";"16"
"1705607";"Conceição do Tocantins (TO)";"Total";"1";"Total";"33"
"1706001";"Couto Magalhães (TO)";"Total";"1";"Total";"75"
"1706100";"Cristalândia (TO)";"Total";"1";"Total";"93"
"1706258";"Crixás do Tocantins (TO)";"Total";"1";"Total";"55"
"1706506";"Darcinópolis (TO)";"Total";"1";"Total";"39"
"1707009";"Dianópolis (TO)";"Total";"1";"Total";"69"
